diagnosis,count,priority
provider response is indicated with an x),19,HIGH
"pulmonary edema, non-cardiogenic",6,MEDIUM
demand ischemia,6,MEDIUM
"diastolic heart failure, acute-on-chronic",6,MEDIUM
"kidney disease (mild), stage ii (gfr 60-89)",4,LOW
uti due to indwelling catheter,3,LOW
"pulmonary edema, cardiogenic",3,LOW
demand ischemia without mi,3,LOW
"medicine  03/08/2024                    """,3,LOW
order specific question answer comments   diet full liquid    can resume diet as tolerated      pt/ot/st evaluation     order specific question answer comments   rehab pt evaluation per,3,LOW
as evidenced by (please provide additional specificity),3,LOW
